ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2014-11-24T20:48:24Z,penguinperson77,WebPlayer (websocket RFC6455),47595,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Amnesia,5 Seconds of Summer,5 Seconds Of Summer,spotify:track:1JCCdiru7fhstOIF4N7WJC,,,,trackdone,playbtn,False,0.0,False,0,False
2014-11-24T20:48:31Z,penguinperson77,WebPlayer (websocket RFC6455),6065,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Winds of Change,Vance Joy,Dream Your Life Away,spotify:track:1Ud7FWi7UXYXzDsOnkQYMU,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:49:11Z,penguinperson77,WebPlayer (websocket RFC6455),14617,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Riptide,Vance Joy,Dream Your Life Away,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:49:21Z,penguinperson77,WebPlayer (websocket RFC6455),9398,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Funk (feat. Bruno Mars),spotify:track:4rmPQGwcLQjCoFq5NrTA0D,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:49:53Z,penguinperson77,WebPlayer (websocket RFC6455),26195,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Hey Mami,Sylvan Esso,Sylvan Esso,spotify:track:4gB5Idv1iw8jgxyEvuwPVA,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:50:12Z,penguinperson77,WebPlayer (websocket RFC6455),17990,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",I Bet My Life,Imagine Dragons,I Bet My Life,spotify:track:2Ex5M7OjJhkH38JvCUzwXR,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:50:23Z,penguinperson77,WebPlayer (websocket RFC6455),10117,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Medicine,The 1975,Medicine,spotify:track:6FjQDNrlAzhw2REqMVuSpw,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:51:17Z,penguinperson77,WebPlayer (websocket RFC6455),53176,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",The Party Line,Belle and Sebastian,The Party Line,spotify:track:57Z6ewsDdS8nsAUu0ROERc,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:51:22Z,penguinperson77,WebPlayer (websocket RFC6455),4518,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Make You Better,The Decemberists,Make You Better,spotify:track:2G5uNT7IDMSbcQPmdk0AR4,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:51:26Z,penguinperson77,WebPlayer (websocket RFC6455),2595,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Do I Wanna Know?,Arctic Monkeys,Do I Wanna Know?,spotify:track:49h0RYK3yzWkfbVyNJjJ01,,,,unknown,unknown,False,0.0,False,0,False
