endTime,artistName,trackName,msPlayed
2023-10-22 19:40,Taylor Swift,I Almost Do (Taylor's Version),53650
2023-10-22 19:42,Taylor Swift,Sad Beautiful Tragic (Taylor's Version),126084
2023-10-22 19:43,Taylor Swift,Begin Again (Taylor's Version),11540
2023-10-22 19:43,Taylor Swift,Holy Ground (Taylor's Version),79319
2023-10-22 19:45,Taylor Swift,Starlight (Taylor's Version),103653
2023-10-22 19:46,Taylor Swift,Karma,9868
2023-10-22 21:48,The Lumineers,Stubborn Love,96190
2023-10-22 21:50,King Harvest,Dancing in the Moonlight,27210
2023-10-22 21:50,Tears For Fears,Everybody Wants To Rule The World,11560
2023-10-22 21:51,Wolf Alice,Don't Delete The Kisses,22580
2023-10-22 21:51,Mazzy Star,Fade Into You,33200
2023-10-22 21:52,Elton John,Goodbye Yellow Brick Road - Remastered 2014,13370
2023-10-22 21:52,Two Door Cinema Club,What You Know,21840
2023-10-22 21:52,Patrick Watson,Je te laisserai des mots,17270
2023-10-22 21:53,The Temper Trap,Sweet Disposition,30470
2023-10-22 21:54,Tal Bachman,She's so High,11170
2023-10-22 21:54,Tal Bachman,She's so High,10700
2023-10-22 21:54,Vampire Weekend,Campus,29100
2023-10-22 21:54,"Crosby, Stills, Nash & Young",Our House,43690
2023-10-22 21:55,Radical Face,"Welcome Home, Son",20490
2023-10-22 21:55,King Princess,1950,33960
2023-10-22 21:57,Weezer,Island In The Sun,1800
2023-10-22 21:57,Vampire Weekend,A-Punk,1290
2023-10-22 21:57,The La's,There She Goes,3180
2023-10-22 21:57,Grizzly Bear,Two Weeks,13830
2023-10-22 21:57,Peter Bjorn and John,Young Folks,95420
2023-10-22 21:58,Del Water Gap,Ode to a Conversation Stuck in Your Throat,31960
2023-10-22 21:58,Harry Styles,Sweet Creature,21370
2023-10-22 21:58,Videoclub,Amour plastique,12630
2023-10-22 22:00,Dr. Dog,Where'd All the Time Go?,96960
2023-10-22 22:00,The Shins,New Slang - 2021 Remaster,14340
2023-10-22 22:01,Sixpence None The Richer,Kiss Me,26380
2023-10-22 22:01,John Vincent III,Next to You,35180
2023-10-22 22:02,Keane,Somewhere Only We Know,26330
2023-10-22 22:02,The 1975,Somebody Else,14700
2023-10-22 22:03,Supergrass,Alright,31650
2023-10-22 22:03,Tame Impala,Feels Like We Only Go Backwards,15190
2023-10-22 22:03,Lizzy McAlpine,ceilings,16090
2023-10-22 22:03,The 1975,Somebody Else,1500
2023-10-22 22:04,Maggie Rogers,Light On,24890
2023-10-22 22:04,The 1975,Robbers,25020
2023-10-22 22:05,Richy Mitch & The Coal Miners,Evergreen,28070
2023-10-22 22:05,The Strokes,Someday,23500
2023-10-22 22:06,COIN,Malibu 1992,36860
2023-10-22 22:07,Harry Styles,From the Dining Table,16420
2023-10-22 22:07,Noah Kahan,Dial Drunk,75460
2023-10-22 22:08,Brenn!,4runner,42320
2023-10-22 22:08,The Strokes,The Adults Are Talking,35580
2023-10-22 22:09,Coldplay,Sparks,17010
2023-10-22 22:09,Post Malone,Feeling Whitney,22240
2023-10-22 22:10,Mac Miller,The Spins,2711
2023-10-22 22:10,Barry Louis Polisar,All I Want Is You,31550
2023-10-22 22:11,Wet Leg,Wet Dream,41370
2023-10-22 22:11,Her's,What Once Was,20820
2023-10-22 22:12,Bakar,Hell N Back,62820
2023-10-22 22:14,Clairo,Bags,70330
2023-10-22 22:15,Olivia Rodrigo,deja vu,84730
2023-10-22 22:17,The Cinematic Orchestra,To Build A Home,147940
2023-10-22 22:18,Iron & Wine,"Flightless Bird, American Mouth",55300
2023-10-22 22:21,Rex Orange County,Sunflower,130180
2023-10-22 22:22,Gregory Alan Isakov,Amsterdam,64779
2023-10-22 22:25,BoyWithUke,Migraine,177320
2023-10-22 22:28,Taylor Swift,Lavender Haze,6490
2023-10-22 22:28,BoyWithUke,Sick of U (with Oliver Tree),168676
2023-10-22 22:29,Taylor Swift,Midnight Rain,25150
2023-10-22 22:29,In The Valley Below,Peaches,37400
2023-10-22 22:30,AJR,Weak,33630
2023-10-22 22:30,AJR,Burn The House Down,12800
2023-10-22 22:31,Lord Huron,Meet Me in the Woods,58020
2023-10-22 22:32,The Killers,All These Things That I've Done,38500
2023-10-22 22:33,Maroon 5,This Love,44880
2023-10-22 22:33,NEEDTOBREATHE,HAPPINESS,2130
2023-10-22 22:33,Vampire Weekend,A-Punk,3260
2023-10-22 22:33,AJR,Sober Up (feat. Rivers Cuomo),2840
2023-10-22 22:33,Asaf Avidan,One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,1420
2023-10-22 22:33,Ocean Park Standoff,Good Time,4040
2023-10-22 22:34,Kid Cudi,Pursuit Of Happiness (Nightmare),14470
2023-10-22 22:34,Wild Party,When I Get Older,2870
2023-10-22 22:34,DREAMERS,Sweet Disaster,1280
2023-10-22 22:34,AJR,Way Less Sad,72180
2023-10-22 22:34,GROUPLOVE,Colours,4250
2023-10-22 22:35,The Heydaze,New Religion,1550
2023-10-22 22:35,Graeme James,One + One,19090
2023-10-22 22:37,JVKE,this is what falling in love feels like,12650
2023-10-22 22:37,WILLOW,Wait a Minute!,1840
2023-10-22 22:37,Rainbow Kitten Surprise,First Class,133750
2023-10-22 22:37,AJR,The Good Part,2650
2023-10-22 22:38,Bastille,Good Grief,1970
2023-10-22 22:38,Christian French,OH WELL,9700
2023-10-22 22:38,Declan McKenna,Brazil,6240
2023-10-22 22:44,Foals,Mountain at My Gates,2100
2023-10-22 22:44,Local Natives,When Am I Gonna Lose You,100470
2023-10-22 22:45,Taylor Swift,Long Live (Taylor's Version),2790
2023-10-22 22:45,Joe P,Leaves,11430
2023-10-22 22:45,Iron Eyes Cody,The Distance,25140
2023-10-22 22:45,Trinix,Beautiful Day (Thank You for Sunshine),18020
2023-10-22 22:46,The Lumineers,Sleep On The Floor,10990
2023-10-22 22:46,Edward Sharpe & The Magnetic Zeros,Home,58290
2023-10-22 22:48,Phillip Phillips,Home,90550
2023-10-22 22:48,Noah Kahan,Orange Juice,2470
2023-10-22 22:48,Noah Kahan,Growing Sideways,5490
